cname,sname,cont,body,fwater,imgurl
Dorado,Salminus brasiliensis,2,3,y,https://www.igfa.org/Images/SpeciesID_Images/dorado.png
"Drum, Black",Pogonias cromis,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/drum_black.png
"Drum, Freshwater",Aplodinotus grunniens,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/drum_freshwater.png
"Drum, Red",Sciaenops ocellatus,1,3,b,https://www.igfa.org/Images/SpeciesID_Images/drum_red.png
"Flounder, Summer",Paralichthys dentatus,1,6,n,https://www.igfa.org/Images/SpeciesID_Images/flounder_summer.png
"Gar, Alligator",Atractosteus spatula,1,5,b,https://www.igfa.org/Images/SpeciesID_Images/gar_alligator.png
"Gar, Florida",Lepisosteus platyrhincus,1,5,b,https://www.igfa.org/Images/SpeciesID_Images/gar_florida.png
"Gar, Longnose",Lepisosteus osseus,1,5,b,https://www.igfa.org/Images/SpeciesID_Images/gar_longnose.png
"Gar, Shortnose",Lepisosteus platostomus,1,5,b,https://www.igfa.org/Images/SpeciesID_Images/gar_shortnose.png
"Gar, Spotted",Lepisosteus oculatus,1,5,b,https://www.igfa.org/Images/SpeciesID_Images/gar_spotted.png
Grayling,Thymallus thymallus,4 5,3,y,https://www.igfa.org/Images/SpeciesID_Images/grayling.png
"Grayling, Arctic",Thymallus arcticus,1 5,3,b,"https://www.igfa.org/Images/SpeciesID_Images/BWGrayling,%20Arctic.png"
"Grouper, Black",Mycteroperca bonaci,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/grouper_black.png
"Grouper, Broomtail",Mycteroperca xenarcha,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/BWGrouper_broom.png
"Grouper, Gag",Mycteroperca microlepis,1,2,b,https://www.igfa.org/Images/SpeciesID_Images/grouper_gag.png
"Grouper, Goliath",Epinephelus itajara,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/grouper_goliath.png
"Grouper, Red",Epinephelus morio,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/grouper_red.png
"Halibut, Atlantic",Hippoglossus hippoglossus,1,6,n,https://www.igfa.org/Images/SpeciesID_Images/halibut_atlantic.png
"Halibut, California",Paralichthys californicus,1,6,n,https://www.igfa.org/Images/SpeciesID_Images/halibut_cal.png
"Halibut, Pacific",Hippoglossus stenolepis,1 5,6,n,https://www.igfa.org/Images/SpeciesID_Images/halibut_pac.png
Huchen,Hucho hucho,4,3,y,https://www.igfa.org/Images/SpeciesID_Images/huchen.png
Inconnu,Stenodus leucichthys,1 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/inconnu.png
"Jack, Almaco",Seriola rivoliana,1 2 3 4 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/jack_almaco.png
"Jack, Crevalle",Caranx hippos,1 2 3 4,2,b,https://www.igfa.org/Images/SpeciesID_Images/jack_crevalle.png
"Jack, Horse-eye",Caranx latus,1 2 3,2,b,https://www.igfa.org/Images/SpeciesID_Images/jack_horseeye.png
"Jack, Pacific Crevalle",Caranx caninus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/jack_paccrev.png
Kahawai (Australian Salmon),Arripis trutta,6,3,n,https://www.igfa.org/Images/SpeciesID_Images/kahawai.png
Kawakawa,Euthynnus affinis,3 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/kawakawa.png
Kokanee,Oncorhynchus nerka,1 5,3,n,https://www.igfa.org/Images/SpeciesID_Images/kokanee.png
Ladyfish,Elops spp.,1 2 3 4 5 6,3,b,https://www.igfa.org/Images/SpeciesID_Images/ladyfish.png
Leerfish (Garrick),Lichia amia,3 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/leerfish.png
Lingcod,Ophiodon elongatus,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/lingcod.png
